schema_name,schema_name_2,fields,version,tribe,schema_confluent_id
k-payments-disperse-v1-request-key,PaymentsUserDisperseRequestEventKey,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}]",1,undefined,100050
k-payments-disperse-v1-request-stg-key,PaymentsUserDisperseRequestEventKey,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}]",1,undefined,100050
k-payments-disperse-v1-request-stg-value,PaymentsUserDisperseRequestEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}, {""name"": ""dateIni"", ""type"": ""string"", ""doc"": ""Represent the date of initialization of process of generation Liquidation""}]",1,undefined,100051
k-payments-disperse-v1-request-value,PaymentsUserDisperseRequestEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}, {""name"": ""dateIni"", ""type"": ""string"", ""doc"": ""Represent the date of initialization of process of generation Liquidation""}]",1,undefined,100051
k-payments-disperse-v1-request-value,PaymentsUserDisperseRequestEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}, {""name"": ""dateIni"", ""type"": {""type"": ""string"", ""avro.java.string"": ""String""}, ""doc"": ""Represent the date of initialization of process of generation Liquidation""}]",2,undefined,100070
k-payments-disperse-v1-response-key,PaymentsUserDisperseResponseEventKey,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}]",1,undefined,100052
k-payments-disperse-v1-response-stg-key,PaymentsUserDisperseResponseEventKey,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}]",1,undefined,100052
k-payments-disperse-v1-response-stg-value,PaymentsUserDisperseResponseEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""UserDisperse enterpriseId""}, {""name"": ""isActive"", ""type"": ""boolean"", ""doc"": ""Represents if dispersion is active for this user or not""}, {""name"": ""version"", ""type"": ""string"", ""doc"": ""Represent the user's version: V1|V2""}, {""name"": ""dateIni"", ""type"": ""string"", ""doc"": ""Represent the date of initialization of process of generation Liquidation""}]",1,undefined,100053
k-payments-disperse-v1-response-value,PaymentsUserDisperseResponseEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""UserDisperse enterpriseId""}, {""name"": ""isActive"", ""type"": ""boolean"", ""doc"": ""Represents if dispersion is active for this user or not""}, {""name"": ""version"", ""type"": ""string"", ""doc"": ""Represent the user's version: V1|V2""}, {""name"": ""dateIni"", ""type"": ""string"", ""doc"": ""Represent the date of initialization of process of generation Liquidation""}]",1,undefined,100053
k-payments-disperse-v1-response-value,PaymentsUserDisperseResponseEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""UserDisperse enterpriseId""}, {""name"": ""isActive"", ""type"": ""boolean"", ""doc"": ""Represents if dispersion is active for this user or not""}, {""name"": ""version"", ""type"": {""type"": ""string"", ""avro.java.string"": ""String""}, ""doc"": ""Represent the user's version: V1|V2""}, {""name"": ""dateIni"", ""type"": {""type"": ""string"", ""avro.java.string"": ""String""}, ""doc"": ""Represent the date of initialization of process of generation Liquidation""}]",2,undefined,100071
k-payments-dispersed-transactions-key,PaymentsDispersedTransactionsEventKey,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}]",1,undefined,100064
k-payments-dispersed-transactions-value,PaymentsDispersedTransactionsEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}, {""name"": ""orders"", ""type"": {""type"": ""array"", ""items"": ""long""}, ""doc"": ""List of liquidation order id""}, {""name"": ""totalAmount"", ""type"": ""string"", ""doc"": ""Amount of dispersion order""}, {""name"": ""dispersionId"", ""type"": ""long"", ""doc"": ""Dispersion id""}]",1,undefined,100065
k-payments-dispersed-transactions-value,PaymentsDispersedTransactionsEventValue,"[{""name"": ""enterpriseId"", ""type"": ""long"", ""doc"": ""Enterprise id""}, {""name"": ""orders"", ""type"": {""type"": ""array"", ""items"": ""long""}, ""doc"": ""List of liquidation order id""}, {""name"": ""totalAmount"", ""type"": {""type"": ""string"", ""avro.java.string"": ""String""}, ""doc"": ""Amount of dispersion order""}, {""name"": ""dispersionId"", ""type"": ""long"", ""doc"": ""Dispersion id""}]",2,undefined,100073
k-payments-liquidation-approved-transactions-key,TransactionApprovedEventKey,"[{""name"": ""idTransaction"", ""type"": ""long"", ""doc"": ""Transaction id""}, {""name"": ""flowTransaction"", ""type"": {""type"": ""enum"", ""name"": ""FlowTransaction"", ""symbols"": [""PHYSICAL_CARD"", ""ECOMMERCE"", ""RECURRENT"", ""CASH_PAYMENT"", ""DEVOLUTION"", ""CHARGEBACK""]}, ""doc"": ""Transaction flow""}]",1,undefined,100011
k-payments-liquidation-approved-transactions-key,TransactionApprovedEventKey,"[{""name"": ""idTransaction"", ""type"": ""long"", ""doc"": ""Transaction id""}, {""name"": ""flowTransaction"", ""type"": ""string"", ""doc"": ""Transaction flow""}]",2,undefined,100045
k-payments-liquidation-approved-transactions-key,TransactionApprovedEventKey,"[{""name"": ""idTransaction"", ""type"": ""long"", ""doc"": ""Transaction id""}, {""name"": ""flowTransaction"", ""type"": {""type"": ""string"", ""avro.java.string"": ""String""}, ""doc"": ""Transaction flow""}]",3,undefined,100046
