cards-contracts-balance-topic-prod,arn:aws:sns:us-west-2:180477243137:cards-contracts-balance-topic-prod
cards-payments-importation-topic-dev,arn:aws:sns:us-west-2:180477243137:cards-payments-importation-topic-dev
cards-payments-importation-topic-prod,arn:aws:sns:us-west-2:180477243137:cards-payments-importation-topic-prod
cards.fifo,arn:aws:sns:us-west-2:180477243137:cards.fifo
cards_files_processing_completed,arn:aws:sns:us-west-2:180477243137:cards_files_processing_completed
cashflow_completed_dev,arn:aws:sns:us-west-2:180477243137:cashflow_completed_dev
cashflow_completed_prod,arn:aws:sns:us-west-2:180477243137:cashflow_completed_prod
cdc-active-portfolio-poller-topic-dev,arn:aws:sns:us-west-2:180477243137:cdc-active-portfolio-poller-topic-dev
cdc-active-portfolio-poller-topic-prod,arn:aws:sns:us-west-2:180477243137:cdc-active-portfolio-poller-topic-prod
cdc-monitor-update-topic-dev,arn:aws:sns:us-west-2:180477243137:cdc-monitor-update-topic-dev
cdc-monitor-update-topic-prod,arn:aws:sns:us-west-2:180477243137:cdc-monitor-update-topic-prod
cdc-renueva-update-topic-dev,arn:aws:sns:us-west-2:180477243137:cdc-renueva-update-topic-dev
cdc-renueva-update-topic-prod,arn:aws:sns:us-west-2:180477243137:cdc-renueva-update-topic-prod
cdp-compute-topic-dev,arn:aws:sns:us-west-2:180477243137:cdp-compute-topic-dev
cdp-compute-topic-prod,arn:aws:sns:us-west-2:180477243137:cdp-compute-topic-prod
chargify-notifier-dev,arn:aws:sns:us-west-2:180477243137:chargify-notifier-dev
chargify-notifier-prod,arn:aws:sns:us-west-2:180477243137:chargify-notifier-prod
check-files-dev,arn:aws:sns:us-west-2:180477243137:check-files-dev
cld-job-topic-dev,arn:aws:sns:us-west-2:180477243137:cld-job-topic-dev
cld-job-topic-prod,arn:aws:sns:us-west-2:180477243137:cld-job-topic-prod
cli-scheduler-topic-dev,arn:aws:sns:us-west-2:180477243137:cli-scheduler-topic-dev
cli-scheduler-topic-prod,arn:aws:sns:us-west-2:180477243137:cli-scheduler-topic-prod
collections-buckets-prod-lambda-topic-dev,arn:aws:sns:us-west-2:180477243137:collections-buckets-prod-lambda-topic-dev
collections-buckets-prod-lambda-topic-prod,arn:aws:sns:us-west-2:180477243137:collections-buckets-prod-lambda-topic-prod
collections-model-comms-topic-dev,arn:aws:sns:us-west-2:180477243137:collections-model-comms-topic-dev
collections-model-comms-topic-prod,arn:aws:sns:us-west-2:180477243137:collections-model-comms-topic-prod
comms-lifecycle-process-review-topic-dev,arn:aws:sns:us-west-2:180477243137:comms-lifecycle-process-review-topic-dev
communications-topic-prod,arn:aws:sns:us-west-2:180477243137:communications-topic-prod
company-model-pm-kbase-topic-dev,arn:aws:sns:us-west-2:180477243137:company-model-pm-kbase-topic-dev
company-model-pm-kbase-topic-prod,arn:aws:sns:us-west-2:180477243137:company-model-pm-kbase-topic-prod
company_model_redis_pm-topic-dev,arn:aws:sns:us-west-2:180477243137:company_model_redis_pm-topic-dev
company_model_redis_pm-topic-prod,arn:aws:sns:us-west-2:180477243137:company_model_redis_pm-topic-prod
config-audit,arn:aws:sns:us-west-2:180477243137:config-audit
credit-bundle-process-topic-dev,arn:aws:sns:us-west-2:180477243137:credit-bundle-process-topic-dev
credit-bundle-process-topic-prod,arn:aws:sns:us-west-2:180477243137:credit-bundle-process-topic-prod
credit-bundle-requests-dev,arn:aws:sns:us-west-2:180477243137:credit-bundle-requests-dev
credit-bundle-requests-prod,arn:aws:sns:us-west-2:180477243137:credit-bundle-requests-prod
credit-mgm-referee-topic-dev,arn:aws:sns:us-west-2:180477243137:credit-mgm-referee-topic-dev
credit-mgm-referee-topic-prod,arn:aws:sns:us-west-2:180477243137:credit-mgm-referee-topic-prod
csfParser-DEV,arn:aws:sns:us-west-2:180477243137:csfParser-DEV
csfParser-PROD,arn:aws:sns:us-west-2:180477243137:csfParser-PROD
data-mining-payroll,arn:aws:sns:us-west-2:180477243137:data-mining-payroll
data-mining-payroll-prod,arn:aws:sns:us-west-2:180477243137:data-mining-payroll-prod
data_mining_alerts,arn:aws:sns:us-west-2:180477243137:data_mining_alerts
data_mining_cfdi_DEV,arn:aws:sns:us-west-2:180477243137:data_mining_cfdi_DEV
data_mining_dev,arn:aws:sns:us-west-2:180477243137:data_mining_dev
data_mininig_cfdi,arn:aws:sns:us-west-2:180477243137:data_mininig_cfdi
dlq-topic,arn:aws:sns:us-west-2:180477243137:dlq-topic
dm-gr-cfe-topic-dev,arn:aws:sns:us-west-2:180477243137:dm-gr-cfe-topic-dev
dm-gr-cfe-topic-prod,arn:aws:sns:us-west-2:180477243137:dm-gr-cfe-topic-prod
dm-recurrents-sns-topic-dev,arn:aws:sns:us-west-2:180477243137:dm-recurrents-sns-topic-dev
dm-recurrents-sns-topic-prod,arn:aws:sns:us-west-2:180477243137:dm-recurrents-sns-topic-prod
